id,id_category,name,id_brand
181,15,Crystal Palace iPhone 13 Case - Clear,47
182,16,Ultra Slim SEDVDBK22 External CD/DVD Writer - Black,14
183,16,Insixt External Slimline USB CD Drive - Black,53
184,16,Ultra Slim SEDVDWH22 External CD/DVD Writer - White,14
185,16,ZenDrive SDRW-08U9M-U External DVD Writer - Black,55
186,16,SDRW-08D2S-U LITE External DVD Writer - Black,55
187,16,BW-06D2X-U External Blu-ray Writer - Black,55
188,17,CD Laser Lens Cleaner,18
189,17,III Series Clean & Protect Display Cleaning Kit,57
190,17,VHS/S-VHS Video Cleaning Tape,18
191,17,S150AVC20 Screen Cleaner,14
192,17,Deluxe DVD Laser Lens Cleaner,18
193,17,CD/DVD Repair & Cleaning Kit,18
194,17,Digital Innovations ScreenDr Screen Cleaning Kit - 59 ml,58
195,17,DVD Laser Lens Cleaner,18
196,17,Blu-ray Laser Lens Cleaner,18
197,18,Dolce Gusto Caramel Macchiato Coffee Pods - Pack of 12,66
198,18,Expert Burr GVX23140 Electric Coffee Grinder - Black & Stainless Steel,60
199,18,EK4635 Milk Frother - Black,23
200,18,"Smart Mug - 295 ml, Black",67
201,18,Costa Latte T Discs - Pack of 8,68
202,18,Frothing Control XL100840 Electric Milk Frother - Black,60
203,18,Dolce Gusto Plant Based Oat Flat White Coffee Pods - Pack of 12,64
204,18,Molino Electric Coffee Grinder - Black,62
205,18,Pike Place Roast Coffee Beans - 200 g,66
206,18,DLSC060 Milk Frothing Jug - Silver,61
207,18,BCG600SIL the Dose Control Pro Coffee Grinder - Silver,1
208,18,F20342 Coffee Mill - Black,60
209,18,The Temp Control BES003UK Milk Jug,1
210,18,DLSC002 Water Filter,61
211,18,Dolce Gusto Caf au Lait - Pack of 16,64
212,18,KG200 Blade Coffee Grinder - Black,61
213,18,House Blend Ground Coffee - 200 g,66
214,18,BES100 Coffee Knock Box Mini - Silver,1
215,18,by Bosch TCZ6008 Descaling Tablets - Pack of 8,68
216,18,TCZ6004 TASSIMO Descaler,68
217,19,by Magimix Vertuo Plus 11389 Pod Coffee Machine - Red,70
