id_parameter,name,unit
2040,Includes vacuum bag & zipper tool,
2041,UK to EU plug adapter,
2044,Compact & lightweight,
2045,UK / US / EU / AU plug adapters,
2048,Manage your drying using your phone,
2050,Sensor drying,
2051,84.2 x 59.7 x 59.9 cm (H x W x D),
2052,Two-year manufactureru2019s guarantee,
2053,Non amplified indoor aerial,
2054,Optimised for HD digital TV & DAB radio,
2055,HD Ready,
2056,Adjustable angle,
2057,Signal overload protection,
2058,Freestanding or wall mountable,
2059,Aerial can be placed horizontally or vertically,
2060,Amplified indoor aerial up to 41 dB,
2061,3G / 4G / 5G block-filter,
2062,Signal level indicator,
2063,Receives analogue and digital signals,
2064,Optimised for Full HD digital TV and DAB radio,
2065,3G / 4G block-filter,
2066,Amplified indoor aerial up to 45 dB,
2067,Maximum signal range:,
2068,Amplifies terrestrial High Definition television signals,
2069,Ideal for placing behind a flat panel television,
2070,For up to 60u201d Televisions,
2071,Metal / wood,
2072,Maximum supported weight:,
2073,VESA compliance:,
2074,USB 3.1 / USB Type-C,
2076,Up to 130 MB/s,
2077,Up to 10 Gbps,
2078,5 year guarantee,
2079,Up to 60 Mbps,
2080,Hardware encryption / password protected,
2082,Up to 60 MB/s,
2085,USB 3.1,
2086,Compatible with all Ku00e4rcher pressure washers,
2087,Car cleaning accessory kit,
2088,Compatible with any Samsung Jet model,
2089,Compatible with Shark vacuum cleaners,
2090,Compatible with Vax Steam plus Detergent models,
2091,Cleans delicate surfaces & upholstery,
2092,Compatible with Vax Cordless Blade Vacuum,
2093,Compatible with all Vax carpet cleaners,
2094,Includes 3 attachment tools,
2095,Cleans hard-to-reach areas,
2097,Multi-layered filtration system,
2098,Set of 2 microfibre mop pads,
2099,Compatible with Numatic Henry vacuum cleaners,
2100,None of the drawbacks of wet cleaning,
2101,Compatible with Vax carpet cleaners,
2102,Traps 99.999% of fine dust and reduces allergens,
2103,Automatically empty dust into the bin,
2104,Includes 8 attachment tools,
2105,Compatible with Vax Blade cordless vacuum cleaners,
2106,Compatible with Dyson vacuum cleaners,
2107,Includes 4 vacuum bags & 2 motor filters,
2108,No sticky detergent residue,
2109,Designed to remove ground-in dirt,
2110,Compatible with full-sized carpet cleaners,
2111,Compatible with Ku00e4rcher Window Vacuum Cleaner,
2112,Compatible with Miele S4000 & S5000 series vacuum cleaners,
2113,For edge-to-edge cleaning,
2114,Ideal for removing pet hair,
2115,Compatible with all Miele cylinder vacuum cleaners,
2116,Helps to eliminate pet odours,
2117,Compatible with Vax steam mops,
2142,Includes everything you need to run VR on your PC,
2143,Compatible with Meta Quest VR Gaming Headsets,
2144,Includes two base stations for precise 360u00b0 motion tracking,
2145,Compatible with Meta Quest 2 VR Gaming Headset,
2146,Includes two light blockers & two alternative face shapes,
2147,Full virtual reality experience at home,
2148,Advanced Qualcomm Snapdragon XR2 processor,
2149,Includes redesigned Touch controllers,
2150,Cinematic 3D audio,
2151,32 headset sensors for 360u00b0 motion tracking,
2152,Fits headset / controllers / power adapter / Elite Strap,
2153,Enhanced resolution for seamless graphics,
2154,Hi-Res 3D spatial audio,
2155,Jump into VR without needing a PC or console,
2156,110u00b0 field of view with improved screen panel,
2158,Wash capacity:,
2159,Anti-allergy program - ideal for allergy sufferers,
2160,Quick wash to get your clothes clean in less time,
2161,Spin speed:,
2163,Stain removal to make sure your clothes always look their best,
2164,Quick wash time:,
2165,Automatic dosing uses the ideal amount of detergent for every load,
2166,Add missed items during the cycle,
2167,82.5 x 59.5 x 55 cm (H x W x D),
2170,Manage your washing using your phone,
2172,4K Ultra HD 3840 x 2160p,
2174,Skype certified,
2175,Built-in microphone & speakers,
2176,Quad HD 2048 x 1536p,
2177,VGA 640 x 480p,
2180,Microsoft Teams certified,
2181,Resolution:,
2182,HD 1280 x 720p,
2184,Photo button,
2187,Anti-slip surface,
2189,Intelli Wrap Cuff,
2190,Instant weight readings,
2191,5 speeds,
2192,Irregular heartbeat detection,
2193,Detects the possibility of Atrial fibrillation,
2195,4 interchangeable massage heads,
2197,Companion app available,
2198,Compatible with Omron Connect app,
2199,Complete WiFi coverage with Google Assistant built-in,
2200,Two unit system,
2203,Network security software,
2204,AC 2200,
2205,Complete WiFi coverage with any broadband provider,
2207,AC 3700,
2209,Three unit system,
2212,One unit add-on,
2214,AC 1300,
2215,Complete WiFi coverage with Amazon Alexa built-in,
2216,AX 1800 WiFi 6,
2217,AX 6600,
2218,Compatible with all home broadband providers,
2221,2 antennas,
2222,AC 1750,
2224,AX 6000 WiFi 6,
2225,AC 1900,
2226,Two Ethernet ports,
2227,PCIe 2.0 x 1,
2228,Plugs into a spare plug socket,
2229,WiFi:,
2233,AX 1500,
2234,One Ethernet port,
2236,Boost your WiFi signal further,
2237,AC 2600,
2238,Four Ethernet ports,
2240,Gigabit Ethernet x 2,
2243,Desktop range extender,
2244,Connect any PC to your WiFi,
2245,Gigabit Ethernet connection,
2250,Converts your USB port into an Ethernet port,
2253,Windows & Mac compatible,
2254,N150,
2259,Enables wireless communication with Bluetooth devices,
2262,Upgrade your PC for the latest AC WiFi,
2263,Bluetooth range:,
2264,AC 600,
