id_parameter,name,unit
295,Watch Blu-ray and stream 4K TV shows,
296,32 GB hard drive,
297,Built-in controllers,
298,Dual analogue sticks,
299,Custom 1 TB NVMe SSD & 16 GB GDDR6 memory,
300,4K Ultra HD gaming up to 120 FPS & up to 8K HDR,
301,Up to 9 hours battery life,
302,Stream 4K video with built-in WiFi,
303,Large capacity oven,
304,4-zone electric induction hob,
305,89.5 x 100 x 60 cm (H x W x D),
306,4-burner gas hob,
307,90 x 60 x 60 cm (H x W x D),
308,4-zone electric ceramic hob,
309,Single conventional oven with separate grill,
310,Electric,
311,90 x 59.5 x 60 cm (H x W x D),
312,4-burner gas hob / enamel supports,
313,Width:,
314,7-burner gas hob,
315,One electric oven / Integrated electric grill,
316,90 x 50 x 60 cm (H x W x D),
317,Easy-clean enamel,
318,Main oven cleaning:,
319,Integrated gas grill,
320,One electric oven / Separate electric grill,
321,Fan-assisted oven,
322,4-zone electric solid plate hob,
323,Single oven with integrated grill,
324,Two electric ovens / Separate electric grill,
325,One gas oven / Separate gas grill,
326,Two electric ovens,
327,Single oven with separate grill,
328,Two electric ovens / Integrated electric grill,
329,Single-oven cooker with separate grill,
330,Fan oven,
331,One gas oven,
332,90 x 59.5 x 60.9 cm (H x W x D),
333,Integrated electric grill,
334,Enamel pan supports,
335,5-year non-stick life span,
336,Oven safe,
337,Suitable for all hobs excluding induction,
338,5-year manufacturer's guarantee,
340,Suitable for all hobs including induction,
342,Oven safe up to 260u00b0C,
343,Dishwasher-safe parts,
344,Photo and video:,
345,Full version,
346,Includes 20 GB online backup,
348,Compatible with Windows / MacOS / iOS / Android,
349,Disc burning and media conversion:,
350,Student edition,
351,Product key card,
352,Photo editing:,
353,Movie & media player:,
354,Includes 100 GB online backup,
356,Graphic design:,
357,Compatible with Windows / MacOS,
358,Boxed,
359,Video editing:,
365,Washable filter / HEPA filter,
367,4 humidity settings,
369,6 hour timer,
370,Drier air helps to control mould spore and dust mites,
372,5 humidity settings,
373,Quiet 2 speed operation,
375,Suitable for room size up to 20 mu00b2,
376,24 hour timer,
377,2 humidity settings,
378,Helps to prevent condensation and damp issues,
379,Suitable for room size up to 15 mu00b2,
381,Carbon filter,
383,Microphone jack,
384,Two-directional microphone,
385,Transcription feature,
386,Recording time:,
387,Recording quality:,
388,Direct USB connection,
389,Energy rating:,
390,Ideal for smaller households (9 place settings),
391,Ideal for open plan living,
392,Ideal for smaller households (6 place settings),
393,82 x 59.8 x 55 cm (H x W x D),
394,Ideal for medium-sized households (14 place settings),
395,Low water usage:,
396,84.5 x 59.8 x 60 cm (H x W x D),
397,85 x 59.8 x 59.8 cm (H x W x D),
398,81.8 x 44.8 x 55 cm (H x W x D),
399,82 x 45 x 55 cm (H x W x D),
400,Auto-dosing system for optimal results,
401,Ideal for smaller households (10 place settings),
402,Ideal for smaller households (12 place settings),
403,Quick wash:,
404,Ideal for medium-sized households (13 place settings),
405,82 x 59.8 x 55.5 cm (H x W x D),
406,81.5 x 59.8 x 55 cm (H x W x D),
407,Online tutorials:,
410,Online access,
411,Dual temperature controls,
413,Automatic safety cut-off,
414,6 heat settings,
415,Timer function,
416,Includes range of accessories,
417,6 brushing modes,
418,3 brushing modes,
419,Easy to fill reservoir,
420,Includes 4 brush heads,
421,Includes carry bag,
422,1 brushing mode,
423,Cordless,
424,Includes 2 brush heads,
425,Compatible with most Oral-B handles,
426,3D cleaning action,
427,Includes 1 brush head,
428,16-degree angle,
429,Includes travel case,
430,Battery life:,
431,Bluetooth connectivity,
432,Pressure sensor,
433,Compatible with Philips Sonicare toothbrush,
434,Pack of 4,
435,Built-in LED light,
436,Integrated speakers & hand-free phone,
437,Adjustable fit system,
438,Compatible with Livall app,
439,USB port x 2,
440,Adjustable mount,
441,SOS alerts,
443,100 PSI compressor,
444,Compatible with Segway Kickscooters,
445,Compatible with Decent One & Decent One Max,
446,LED flashlight,
447,Foldable design,
449,Includes 3 valve adaptors,
450,Jump starts 12 V vehicle batteries,
451,Custom target pressure,
